collection_number,site_code,collection_date,MYSP,LODI,LOPA,LOPE,ONBI,CYFE,GNOR,LISC,SPIO,SYLL,NERE,AMIN,AMNA,AMLA,PLAT,LARU,LISI,NUOS,EMGR,NEMA,NUCA,HYME,QUBI,PAPE,ANN1,ANN2,AMSP,DEPA,CYDE,ANEL,MUCH,CUPS,OENO,OESP,PAHI,HENU,KATU,POLY,PHAG,LERU,LOSC,DIPT,BIV1,COLE
1,PP,2021-04-13,8,19,14,0,0,3,10,0,0,10,0,11,0,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,10,19,26,0,1,17,11,0,0,7,1,4,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,92,33,28,0,8,35,90,24,0,9,4,9,1,1,2,9,5,0,5,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,12,19,15,0,6,10,15,0,0,16,0,19,0,0,0,0,6,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,160,33,51,0,2,6,154,5,0,6,1,20,1,0,0,304,57,3,7,15,0,0,0,0,13,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,24,10,13,0,13,16,9,0,0,5,1,14,2,0,0,0,0,2,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,12,17,24,0,5,1,4,6,0,1,0,9,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PP,2021-04-13,143,38,33,0,0,3,253,3,0,14,3,20,0,2,0,543,40,5,2,8,0,13,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CC,2021-08-22,13,24,23,2,7,15,15,12,8,9,3,1,11,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CC,2021-08-22,3,33,22,0,10,3,18,10,1,2,0,1,60,2,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CC,2021-08-22,14,34,25,1,21,26,146,0,4,3,1,7,17,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CC,2021-08-22,7,4,12,5,15,3,28,15,2,2,0,0,21,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CC,2021-08-22,0,22,13,0,0,1,66,34,6,2,0,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CC,2021-08-22,3,4,15,5,26,20,46,2,23,9,0,0,16,33,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,CC,2021-08-22,2,11,33,6,9,5,78,1,11,6,0,0,12,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,CC,2021-08-22,0,23,12,3,0,1,16,0,3,2,0,0,56,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PP,2021-09-11,32,44,9,11,11,27,10,4,0,4,0,4,1,0,0,400,2,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
12,PP,2021-09-11,1,17,1,3,2,3,2,1,0,0,0,11,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PP,2021-09-11,6,22,0,7,0,5,3,0,0,0,0,7,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,PP,2021-09-11,3,36,4,4,0,5,2,1,0,1,0,14,2,2,0,82,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12,PP,2021-09-11,15,23,0,0,2,0,12,11,0,2,0,8,0,0,0,524,17,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12,PP,2021-09-11,3,22,0,0,6,2,2,0,0,2,0,11,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,PP,2021-09-11,5,28,5,4,0,7,2,0,0,3,0,8,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PP,2021-09-11,35,39,8,0,4,11,29,16,0,2,0,11,3,0,0,417,7,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,2,0
2,CC,2021-04-16,13,19,14,10,45,29,83,1,2,5,0,3,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,CC,2021-04-16,19,31,21,9,9,24,14,2,4,3,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,CC,2021-04-16,2,0,4,6,38,62,22,0,2,1,2,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC,2021-04-16,5,9,27,14,2,6,7,6,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC,2021-04-16,5,25,14,10,1,18,0,11,5,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC,2021-04-16,13,64,4,9,16,22,0,4,5,3,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC,2021-04-16,11,29,8,13,8,33,1,1,16,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC,2021-04-16,5,48,5,1,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
