date,low_time,hottest_hour
13-Jun-06,8.68,12
14-Jun-06,9.42,13
15-Jun-06,10.18,12
16-Jun-06,10.97,14
17-Jun-06,11.77,14
18-Jun-06,12.62,14
19-Jun-06,13.50,15
20-Jun-06,14.43,15
21-Jun-06,15.40,16
22-Jun-06,16.37,17
23-Jun-06,5.78,10
24-Jun-06,6.62,10
25-Jun-06,7.37,11
26-Jun-06,8.05,11
27-Jun-06,8.70,12
28-Jun-06,9.32,13
29-Jun-06,9.90,13
30-Jun-06,10.48,13
01-Jul-06,11.05,14
02-Jul-06,11.67,14
03-Jul-06,12.33,15
04-Jul-06,13.08,15
05-Jul-06,13.95,16
06-Jul-06,14.92,15
07-Jul-06,15.87,15