site_code,number_live,number_dead,orientation_raw_degrees,angle_raw_degrees,number_ANEL,algal_cover_per25sq,algal_prop_cover
TE,38,0,211,73,19,1.75,0.07
TE,42,0,227,76,8,1,0.04
TE,20,0,265,56,3,0,0
TE,35,0,249,81,19,0,0
TE,32,1,240,63,16,0.5,0.02
TE,28,0,212,67,2,0.1,0.004
TE,36,0,118,42,16,0.25,0.01
TE,28,3,160,45,7,1,0.04
TE,35,1,179,72,1,0.1,0.004
TE,34,1,122,21,27,0.25,0.01
TE,24,0,106,83,10,0.75,0.03
TE,18,4,271,77,3,5.5,0.22
TE,31,1,271,69,6,0.75,0.03
TE,21,1,207,22,2,3,0.12
TE,12,3,115,53,35,2.25,0.09
TE,31,16,67,29,3,0,0
TE,37,2,280,73,8,0.5,0.02
TE,25,1,273,75,14,6.5,0.26
TE,18,2,105,25,19,0,0
TE,17,1,272,75,39,0.5,0.02
TE,38,3,241,66,21,2.75,0.11
TE,44,1,235,57,11,4.5,0.18
TE,26,1,93,44,16,6.75,0.27
TE,35,1,238,83,3,0,0
TE,24,1,141,33,5,0.5,0.02
SP,38,0,203,61,1,0.25,0.01
SP,44,0,223,68,0,0,0
SP,46,1,167,62,0,0,0
SP,37,0,199,87,2,0.5,0.02
SP,30,2,11,84,0,0,0
SP,26,13,117,72,0,1.75,0.07
SP,36,11,119,63,0,0.25,0.01
SP,33,6,258,57,0,0.25,0.01
SP,25,27,272,72,0,0.5,0.02
SP,60,0,141,67,0,0,0
SP,14,14,60,87,0,0,0
SP,39,0,74,37,0,0,0
SP,55,4,61,58,1,0,0
SP,5,20,63,79,0,0,0
SP,19,25,60,59,0,1.5,0.06
SP,64,2,3,54,0,0,0
SP,25,0,214,68,0,0,0
SP,34,4,254,67,0,0,0
SP,6,29,13,79,0,0,0
SP,26,30,8,63,1,0,0
SP,35,1,348,69,3,0,0
SP,43,8,333,70,0,0,0
SP,12,23,289,71,1,0,0
SP,51,1,14,6,0,0.5,0.02
SP,51,3,173,22,0,0.25,0.01
FC,31,0,225,82,0,11.5,0.46
FC,33,0,221,70,0,3.25,0.13
FC,48,2,202,72,0,0.1,0.004
FC,49,0,205,76,0,21,0.84
FC,45,4,217,74,0,20,0.8
FC,53,0,222,63,0,5.5,0.22
FC,48,1,341,51,0,2,0.08
FC,58,6,279,46,0,11.25,0.45
FC,60,6,387,65,0,3.5,0.14
FC,45,2,188,84,0,9,0.36
FC,53,3,193,69,0,4.75,0.19
FC,8,9,69,19,0,2.75,0.11
FC,34,11,136,67,0,12.25,0.49
FC,37,16,152,63,0,5.75,0.23
FC,24,13,144,69,0,8,0.32
FC,77,1,258,57,0,18.5,0.74
FC,58,2,8,28,0,0.5,0.02
FC,67,4,286,55,0,3.5,0.14
FC,41,5,271,58,0,1,0.04
FC,71,11,264,64,0,12.75,0.51
FC,85,14,234,42,0,8,0.32
FC,12,34,332,36,0,0,0
FC,58,7,188,79,0,0.75,0.03
FC,69,6,80,81,0,6.5,0.26
FC,18,20,44,37,0,0,0
FC,43,4,325,27,0,0.5,0.02
SA,17,0,65,33,,,
SA,27,32,185,74,,,
SA,13,41,195,18,,,
SA,56,2,70,85,,,
SA,47,15,45,77,,,
SA,47,2,50,81,,,
SA,9,37,105,73,,,
SA,9,44,110,81,,,
SA,0,40,185,85,,,
SA,10,74,240,70,,,
SA,65,11,275,75,0,0,0
SA,43,2,285,79,8,0.1,0.004
SA,10,9,275,76,3,0.15,0.006
SA,13,32,250,86,4,0,0
SA,12,40,265,81,0,0.1,0.004
SA,1,39,230,84,0,0,0
SA,4,33,245,76,1,0.25,0.01
SA,0,47,250,76,0,0,0
SA,0,43,250,86,0,0,0
SA,7,53,260,83,4,0.15,0.006
SA,0,43,265,76,0,3.25,0.13
SA,11,18,270,74,11,0.1,0.004
SA,5,19,275,71,8,0.35,0.014
SA,51,6,213,44,,,
SA,40,1,187,65,,,
SA,0,40,110,85,,,
SA,40,5,267,70,,,
SA,32,1,295,19,,,
SA,0,45,10,69,,,
WBN,13,1,270,87,,,
WBN,43,1,283,77,,,
WBN,12,0,51,72,,,
WBN,36,1,43,81,,,
WBN,14,0,338,13,,,
WBN,45,0,86,26,,,
WBN,52,4,17,-7,,,
WBN,38,0,349,32,,,
WBN,39,0,35,77,,,
WBN,16,0,87,30,,,
WBN,22,0,150,48,,,
WBN,15,0,340,73,,,
WBN,21,0,87,42,,,
WBN,42,0,80,56,,,
WBN,36,1,150,87,,,
WBN,38,0,180,36,,,
WBN,35,1,223,74,,,
WBN,72,4,245,63,,,
WBN,50,7,233,62,,,
WBN,65,3,241,75,,,
WBN,36,1,229,79,,,
WBN,17,0,89,48,,,
WBN,20,0,235,12,,,
WBN,35,2,78,59,,,
WBN,43,2,16,43,,,
TS,1,0,218,44,,,
TS,1,0,220,35,,,
TS,1,0,179,15,,,
TS,1,0,200,56,,,
TS,1,0,171,36,,,
TS,1,0,235,44,,,
TS,1,0,191,47,,,
TS,1,0,336,-12,,,
TS,1,0,193,43,,,
TS,1,0,120,20,,,
TS,1,0,247,14,,,
TS,1,0,140,19,,,
TS,0,1,11,68,,,
TS,0,1,195,81,,,
TS,0,1,258,74,,,
TS,0,1,243,74,,,
TS,0,1,10,-1,,,
TS,0,1,115,75,,,
TS,0,1,47,83,,,
TS,0,1,246,61,,,
TS,0,1,71,13,,,
TS,0,1,41,81,,,