site_name,site_code,latitude_degrees,longitude_degrees,mortality,angles,mortality_survey,angles_survey
"East Point, Saturna Island",EP,48.7848732,-123.0444412,1,,2021-08-06,
"Ruckle Park, Saltspring Island",RP,48.7716025,-123.3665373,1,1,2021-08-05,2021-08-05
Hollydene Park,HP,48.4754007,-123.2991998,1,,2021-08-08,
"Smuggler's Cove, Victoria",SC,48.4514766,-123.266042,1,,,
"Funnel Cove, Victoria",FC,48.4423762,-123.290554,1,1,2021-08-08,
Clover Point,CP,48.4026346,-123.349104,1,,,
"Saxe Point, Victoria",SP,48.4215824,-123.4196598,1,1,2021-08-08,
"Tower Point, Metchosin",TP,48.3827014,-123.5070334,1,,2021-08-09,
"Fishboat Bay, Sooke",FB,48.3926266,-123.9742823,1,,2021-08-09,
"Renfrew Pub, Port Renfrew",RP,48.5544686,-124.4212681,1,,2021-08-09,
"Thousand-and-One Steps, White Rock",TS,49.0324592,-122.8758111,,1,,
"Chinese Cemetery, Victoria",CC,48.405784,-123.323308,,1,,