site_code,transect,number_live,number_dead,cover_live,cover_dead,number_ANEL,algal_cover_per25sq,algal_prop_cover
RP,1,22,0,,,28,9,0.36
RP,1,13,1,,,28,8.25,0.33
RP,1,24,0,,,25,10,0.4
RP,1,20,0,,,34,7.5,0.3
RP,1,22,1,,,16,0.75,0.03
RP,1,2,0,,,4,0.5,0.02
RP,1,17,0,,,1,0.25,0.01
RP,1,4,0,,,15,1.5,0.06
RP,1,23,0,,,0,0,0
RP,1,22,0,,,26,5.5,0.22
RP,2,31,0,,,12,4.75,0.19
RP,2,15,4,,,6,5.5,0.22
RP,2,23,5,,,9,5,0.2
RP,2,20,1,,,9,10,0.4
RP,2,19,2,,,10,8.75,0.35
RP,2,18,3,,,3,0.5,0.02
RP,2,16,0,,,4,18.5,0.74
RP,2,27,3,,,17,3.5,0.14
RP,2,13,4,,,7,6.5,0.26
RP,2,9,2,,,20,11.5,0.46
RP,3,17,0,,,34,5.75,0.23
RP,3,18,1,,,12,1.5,0.06
RP,3,28,1,,,3,2.25,0.09
RP,3,26,0,,,24,7,0.28
RP,3,29,0,,,35,5.25,0.21
RP,3,10,0,,,10,1,0.04
RP,3,21,0,,,26,2,0.08
RP,3,19,1,,,25,5,0.2
RP,3,34,0,,,14,3.25,0.13
RP,3,30,2,,,6,0.25,0.01
EP,1,63,2,,,0,2,0.08
EP,1,32,0,,,0,2,0.08
EP,1,68,3,,,0,0.75,0.03
EP,1,67,0,,,0,1.25,0.05
EP,1,6,1,,,0,9.25,0.37
EP,1,14,4,,,0,8.5,0.34
EP,1,47,0,,,0,0,0
EP,1,51,0,,,0,0.5,0.02
EP,1,10,0,,,0,5,0.2
EP,1,11,1,,,0,12.75,0.51
EP,2,10,0,,,0,3.5,0.14
EP,2,19,0,,,0,9.25,0.37
EP,2,6,0,,,0,2.75,0.11
EP,2,4,0,,,0,3,0.12
EP,2,46,0,,,0,5,0.2
EP,2,17,0,,,0,10,0.4
EP,2,15,0,,,0,12.5,0.5
EP,2,33,0,,,0,1,0.04
EP,2,14,0,,,0,1.5,0.06
EP,2,32,0,,,0,2.75,0.11
EP,3,36,1,,,0,0.25,0.01
EP,3,30,2,,,5,0,0
EP,3,13,3,,,27,1,0.04
EP,3,21,2,,,15,10,0.4
EP,3,36,2,,,21,1,0.04
EP,3,30,2,,,13,4.5,0.18
EP,3,40,7,,,18,0.25,0.01
EP,3,23,0,,,0,0,0
EP,3,17,0,,,0,3.25,0.13
EP,3,24,0,,,0,1,0.04
FC,1,31,0,5.75,0,0,11.5,0.46
FC,1,33,0,9.25,0,0,3.25,0.13
FC,1,44,48,11,5,0,0.75,0.03
FC,1,48,2,9.5,0.25,0,0.1,0.004
FC,1,49,0,9.25,0,0,21,0.84
FC,1,45,4,11,0.5,0,20,0.8
FC,1,53,0,12,0,0,5.5,0.22
FC,1,48,1,9,0.15,0,2,0.08
FC,1,58,6,14.5,8.75,0,11.25,0.45
FC,1,60,6,13,0.75,0,3.5,0.14
FC,2,45,2,,,0,9,0.36
FC,2,65,3,,,0,8,0.32
FC,2,53,3,,,0,4.75,0.19
FC,2,8,9,,,0,2.75,0.11
FC,2,34,11,,,0,12.25,0.49
FC,2,37,16,,,0,5.75,0.23
FC,2,53,3,,,0,2.25,0.09
FC,2,24,13,,,0,8,0.32
FC,2,9,3,,,0,0,0
FC,2,81,15,,,0,6.5,0.26
FC,3,77,1,,,0,18.5,0.74
FC,3,61,1,,,0,13,0.52
FC,3,58,2,,,0,0.5,0.02
FC,3,67,4,,,0,3.5,0.14
FC,3,41,5,,,0,1,0.04
FC,3,71,11,,,0,12.75,0.51
FC,3,85,14,,,0,8,0.32
FC,3,68,5,,,0,5.5,0.22
FC,3,64,0,,,0,2.5,0.1
FC,3,57,1,,,0,0.5,0.02
HP,1,37,0,,,5,8.75,0.35
HP,1,93,0,,,8,13.75,0.55
HP,1,51,1,,,1,4.5,0.18
HP,1,88,1,,,0,8.25,0.33
HP,1,60,6,,,1,11,0.44
HP,1,42,1,,,0,21,0.84
HP,1,79,2,,,0,2.5,0.1
HP,1,44,2,,,0,10.25,0.41
HP,1,37,3,,,0,20,0.8
HP,1,30,2,,,0,17,0.68
HP,2,29,2,,,16,14,0.56
HP,2,16,0,,,11,15.75,0.63
HP,2,24,0,,,11,4.25,0.17
HP,2,52,4,,,1,5.75,0.23
HP,2,31,0,,,1,1.75,0.07
HP,2,33,2,,,1,5.25,0.21
HP,2,18,2,,,21,2.25,0.09
HP,2,28,0,,,0,3,0.12
HP,2,20,0,,,14,1.25,0.05
HP,2,10,0,,,9,11,0.44
HP,3,49,0,,,9,5,0.2
HP,3,70,4,,,2,2.25,0.09
HP,3,62,2,,,0,2,0.08
HP,3,54,2,,,0,3.25,0.13
HP,3,31,2,,,7,3,0.12
HP,3,27,2,,,6,5,0.2
HP,3,45,0,,,3,1.5,0.06
HP,3,53,2,,,0,2,0.08
HP,3,24,0,,,11,3,0.12
HP,3,83,0,,,6,2.75,0.11
MP,1,10,1,,,0,6,0.24
MP,1,4,0,,,0,2.5,0.1
MP,1,4,0,,,0,3.5,0.14
MP,1,15,0,,,0,3.5,0.14
MP,1,5,0,,,0,3.25,0.13
MP,1,6,0,,,0,9,0.36
MP,1,8,0,,,0,8.5,0.34
MP,1,3,1,,,0,4,0.16
MP,1,15,0,,,0,5.75,0.23
TP,1,58,0,24.25,0,0,6,0.24
TP,1,42,0,12.5,0,3,1.75,0.07
TP,1,8,2,1,0.5,4,3,0.12
TP,1,23,0,4.5,0,11,10.25,0.41
TP,1,15,0,1.75,0,3,7.5,0.3
TP,1,32,1,10,0.1,6,0.5,0.02
TP,1,14,0,2.5,0,22,6.5,0.26
TP,1,49,8,10.5,1,6,14.5,0.58
TP,1,21,0,5,0,10,2.5,0.1
TP,1,24,0,6.5,0,20,4,0.16
TP,2,12,1,3.75,2.25,28,8.25,0.33
TP,2,17,0,4.75,0,12,3.75,0.15
TP,2,14,1,10.25,0.5,2,6.25,0.25
TP,2,23,2,5.25,1.5,0,0.25,0.01
TP,2,16,0,6.25,0,0,1.75,0.07
TP,2,35,0,8,0,0,1,0.04
TP,2,30,0,8.75,0,0,14,0.56
TP,2,52,0,5.75,0,0,14.5,0.58
TP,2,30,0,6,0,0,5,0.2
TP,2,32,1,5.25,0.5,0,0.5,0.02
TP,3,22,0,6,0,0,4.75,0.19
TP,3,21,2,3.75,0.25,0,8,0.32
TP,3,49,0,12,0,0,0,0
TP,3,62,3,14,0.5,0,0.25,0.01
TP,3,36,0,4.5,0,12,4,0.16
TP,3,44,0,7.25,0,0,0.75,0.03
TP,3,64,0,12,0,5,0.25,0.01
TP,3,35,0,6.75,0,2,2,0.08
TP,3,39,0,9.5,0,0,2.25,0.09
TP,3,54,1,15.5,0.25,8,3.25,0.13
PR,1,10,0,7,0,0,0,0
PR,1,37,0,13.25,0,0,0,0
PR,1,54,2,22,0.5,0,0,0
PR,1,55,1,23,0.25,0,0,0
PR,1,25,2,9.5,1,0,0,0
PR,1,43,0,23.5,0,0,8,0.32
PR,1,35,20,6,3,0,8,0.32
PR,1,61,7,23,1.25,0,0,0
PR,1,64,0,21,0,0,4.5,0.18
PR,1,76,0,23,0,0,0.75,0.03
PR,2,17,0,19,0,0,6,0.24
PR,2,23,0,22.75,0,0,2,0.08
PR,2,33,0,22,0,0,0.5,0.02
PR,2,32,4,20.5,1,0,14.75,0.59
PR,2,32,4,19.5,1.5,0,19,0.76
PR,2,41,2,22.25,1,0,10.5,0.42
PR,2,29,1,22,1,0,9,0.36
PR,2,33,2,19,1.25,0,5.75,0.23
PR,2,26,2,9,0.5,0,15,0.6
PR,2,24,1,15.25,0.5,0,15.5,0.62
PR,3,28,0,8,0,0,18.5,0.74
PR,3,28,2,14.25,0.5,0,4.5,0.18
PR,3,13,0,7,0,0,6,0.24
PR,3,37,1,20,0.5,0,4,0.16
PR,3,27,1,19.5,0.75,0,6.5,0.26
PR,3,32,0,17,0,0,12.5,0.5
PR,3,29,0,14,0,0,11.75,0.47
PR,3,17,0,8.5,0,0,12,0.48
PR,3,17,0,7.5,0,0,17,0.68
PR,3,32,0,3.5,0,0,1.5,0.06
FB,1,27,11,3,6,0,0.5,0.02
FB,1,44,61,11,8.75,0,1,0.04
FB,1,85,3,19.5,0.5,0,0.75,0.03
FB,1,63,24,15.75,4.25,0,0.35,0.014
FB,1,95,5,20.25,0.5,0,0,0
FB,1,46,3,16,0.25,0,0.1,0.004
FB,1,27,5,17.5,1.5,0,0,0
FB,1,34,0,18,0,0,0.3,0.012
FB,1,23,1,15.25,0.5,0,13,0.52
FB,1,31,1,22,0.25,0,11,0.44
FB,2,62,6,17.5,0.5,0,6,0.24
FB,2,41,3,6.25,0.5,0,0,0
FB,2,19,0,5.75,0,0,0,0
FB,2,28,0,6,0,0,1,0.04
FB,2,65,0,15.25,0,0,1.5,0.06
FB,2,64,2,13,0.25,0,4.5,0.18
FB,2,82,2,20,0.75,0,0.5,0.02
FB,2,72,5,18.75,0.75,0,4.25,0.17
FB,2,62,1,13.5,0.25,8,0.5,0.02
FB,2,39,0,9,0,0,5,0.2
WB,1,20,1,,,,,
WB,1,25,1,,,,,
WB,1,26,5,,,,,
WB,1,22,3,,,,,
WB,1,7,3,,,,,
WB,1,43,1,,,,,
WB,1,25,0,,,,,
WB,1,13,5,,,,,
WB,1,16,1,,,,,
WB,1,18,1,,,,,
WB,2,0,0,,,,,
WB,2,31,1,,,,,
WB,2,18,0,,,,,
WB,2,50,2,,,,,
WB,2,32,0,,,,,
WB,2,31,1,,,,,
WB,2,33,1,,,,,
WB,2,24,2,,,,,
WB,2,30,2,,,,,
WB,2,16,0,,,,,
WB,3,51,3,,,,,
WB,3,29,6,,,,,
WB,3,31,3,,,,,
WB,3,42,2,,,,,
WB,3,22,2,,,,,
WB,3,60,1,,,,,
WB,3,44,4,,,,,
WB,3,46,1,,,,,
WB,3,44,1,,,,,
WB,3,41,1,,,,,
PL,1,38,0,,,,,
PL,1,35,2,,,,,
PL,1,22,1,,,,,
PL,1,53,7,,,,,
PL,1,22,0,,,,,
PL,1,29,1,,,,,
PL,1,33,1,,,,,
PL,1,24,3,,,,,
PL,1,46,1,,,,,
PL,1,70,6,,,,,
PL,2,45,1,,,,,
PL,2,29,6,,,,,
PL,2,19,0,,,,,
PL,2,49,1,,,,,
PL,2,43,7,,,,,
PL,2,46,2,,,,,
PL,2,65,2,,,,,
PL,2,51,2,,,,,
PL,2,56,2,,,,,
PL,2,14,2,,,,,
PL,3,14,0,,,,,
PL,3,19,0,,,,,
PL,3,49,2,,,,,
PL,3,36,1,,,,,
PL,3,48,8,,,,,
PL,3,12,0,,,,,
PL,3,30,2,,,,,
PL,3,55,5,,,,,
PL,3,33,2,,,,,
PL,3,54,2,,,,,