plot_id,GNOR,ONBI,LODI,LOPA,LOPE,LISC,LISI,SYLL,SPIO,NERE,AMNA,AMLA,AMIN,CYFE,ANEL,MYSP,EMGR,QUBI,MUCH,HYME,LARU,PLAT,NUOS,NUCA,CUPS,OENO,OESP,PAHI,HENU,KATU,POLY,PHAG,LERU,LOSC
3,15,7,24,23,2,12,0,9,8,3,11,0,1,15,0,13,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,129,13,30,27,5,4,1,4,12,4,13,1,2,23,3,31,5,4,0,0,0,1,1,0,25,1,0,0,0,0,0,0,0,0
23,110,40,29,19,0,3,0,5,10,0,7,1,6,11,0,6,51,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
20,18,10,33,22,0,10,1,2,1,0,60,2,1,3,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,146,21,34,25,1,0,0,3,4,1,17,0,7,26,11,14,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
4,79,13,35,32,2,18,1,11,7,8,4,0,0,22,0,18,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,94,6,29,19,0,0,0,4,5,2,8,1,4,13,12,8,0,4,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0
19,205,35,18,17,1,3,0,6,24,9,15,2,2,41,0,7,25,37,4,0,0,0,0,10,8,0,0,0,1,1,1,0,0,0
14,95,7,10,19,2,2,0,1,5,3,5,1,3,13,30,11,1,3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
27,28,15,4,12,5,15,1,2,2,0,21,2,0,3,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
30,26,5,30,34,2,31,1,2,13,0,0,1,0,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,66,0,22,13,0,34,0,2,6,0,25,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,167,10,7,11,2,2,0,8,6,0,2,6,1,4,5,2,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
42,94,3,4,18,8,3,0,5,54,2,6,0,0,14,11,3,1,8,2,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0
45,46,26,4,15,5,2,0,9,23,0,16,33,0,20,11,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,78,9,11,33,6,1,0,6,11,0,12,2,0,5,18,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,65,4,40,16,1,2,0,3,7,0,17,0,4,10,0,11,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,16,0,23,12,3,0,0,2,3,0,56,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,97,15,22,17,5,0,0,3,42,5,3,0,1,10,4,14,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0