block,treatment_original_numeric,SECA,BAGL,CHDA,LOPA,LODI,LISI,LISC,MASP,FUDI,MYSP,ANEL,cyrripedia_recruit,POPL,COVA,NERE,AMPH,ISOP,ONBI,LOPE,ENMU,LOSC,HISP,ULSP,NUOS,POLY,AMSP
1,1,80,2,8,9,14,0,13,5.555555556,0.694444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,81,1,2,3,16,0,8,3.472222222,0.277777778,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,54,9,4,6,14,0,0,6.944444444,0.694444444,0,9,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,57,0,0,2,16,0,0,9.722222222,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,89,0,4,3,21,0,2,4.861111111,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,72,0,1,8,17,0,0,7.638888889,0,2,4,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,43,0,3,4,15,0,1,6.25,3.472222222,0,16,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,58,0,4,5,26,0,1,4.166666667,2.083333333,0,7,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,109,0,10,4,10,0,0,6.25,0.694444444,1,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,50,0,2,6,32,0,0,4.861111111,0.694444444,1,4,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,76,0,1,4,21,0,3,11.80555556,0.277777778,2,0,170,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6,2,49,0,8,7,11,0,4,10.41666667,0.694444444,0,0,490,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,43,1,4,4,4,0,2,4.166666667,25,0,7,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
7,2,66,0,5,14,18,0,7,6.944444444,16.66666667,1,9,0,0,0,0,1,0,0,0,0.277777778,0,0,0,0,0,0
8,2,76,0,0,18,23,0,10,4.861111111,6.944444444,1,3,0,0,0.4,0,1,0,0,0,0,0,0,0,0,0,0
8,1,66,0,2,12,21,0,9,6.944444444,0.694444444,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
9,1,63,0,28,10,23,0,6,4.166666667,4.861111111,0,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0
9,2,85,0,1,16,31,0,13,4.166666667,9.027777778,0,5,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0
10,1,60,0,25,16,19,0,9,3.472222222,0.694444444,0,4,0,0,0,0,0,0,0,0,2.777777778,0,0,0,0,0,0
10,2,79,0,2,12,32,0,11,4.166666667,11.11111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,45,0,2,6,9,0,1,3.472222222,1.388888889,0,12,3,0,0,0,0,0,0,3,0.277777778,0,0,0,0,0,0
11,2,47,0,21,9,5,0,1,6.25,0,1,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,52,0,3,2,0,0,0,7.638888889,4.166666667,0,2,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2,61,8,73,18,39,0,1,4.861111111,2.083333333,7,0,0,0,0,0,0,0,0,0,0.277777778,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0